date,bps
202411081230,12648216274.933334
202411081300,13116498565.666664
202411081330,12697348793.866667
202411081400,12673929980.933334
202411081430,12969813790.566666
202411081500,16339203259.533333
202411081530,16460527664.4
202411081600,16851629520.3
202411081630,17101130797.933332
202411081700,17167139760.833332
202411081730,19588154329.23333
202411081800,21495134870.4
202411081830,22709115126.3
202411081900,23589359669.8
202411081930,23746317766.766666
202411082000,23695270403.166664
202411082030,24054415573.466667
202411082100,23745923809.4
202411082130,23139862063
202411082200,21543531434.5
202411082230,19076787592.1
202411082300,15056968419.733334
202411082330,13260203580.4
202411090000,10355697936.4
202411090030,10105121643.566668
202411090100,7188799677.833332
202411090130,6436045739.8
202411090200,5724300704.966666
202411090230,5100737745.766666
202411090300,4107151451.9333334
202411090330,4073090609.9333334
202411090400,4738149957.633333
202411090430,4053521781.833333
202411090500,4493413212.033334
202411090530,4947463735.266666
202411090600,6232414392.7
202411090630,12417438588.166666
202411090700,10003406028.7
202411090730,11909005406.166666
202411090800,13332121333.733334
202411090830,13416723802.966667
202411090900,13533768589.433332
202411090930,13376500317.8
202411091000,14315696803
202411091030,13944276313.133333
202411091100,13928025289.3
202411091130,13332261647.099998
202411091200,13032517801.699999
202411091230,13572211690.433334
202411091300,14333322848.566666
202411091330,15237527359.3
202411091400,15005585184.966667
202411091430,16139380409.300001
202411091500,17199402047.533333
202411091530,18528849377.433334
202411091600,18889060725.633335
202411091630,18596313491.133335
202411091700,18969017928.3
202411091730,19051597808.833332
202411091800,21057238928.13333
202411091830,22350134246.63333
202411091900,22632425711.699997
202411091930,25556235968.333336
202411092000,26262949734.5
202411092030,26743932153.866665
202411092100,26448550606.166664
