date,bps
202410311530,232325783.13333333
202410311600,221089939.23333335
202410311630,203634555.33333334
202410311700,198875389.5
202410311730,205713432.36666667
202410311800,182530205.8333333
202410311830,181258510.8333333
202410311900,170686268.43333334
202410311930,178957431.73333335
202410312000,155512184.2
202410312030,156813953.36666667
202410312100,147985826.03333333
202410312130,137851588.56666666
202410312200,117527812.8
202410312230,104658225.83333333
202410312300,95032700.06666666
202410312330,102225776.19999999
202411010000,87596765.4
202411010030,88655932.03333333
202411010100,80672955.13333333
202411010130,78631406.6
202411010200,89957840
202411010230,83710050.73333332
202411010300,84712286
202411010330,83865423.13333333
202411010400,88870719.93333334
202411010430,93704937.16666666
202411010500,103812818.73333332
202411010530,119562663.13333333
202411010600,129829262.23333333
202411010630,157127177.76666665
202411010700,171180796.8
202411010730,182742446.6
202411010800,183518906.5
202411010830,219820867.60000002
202411010900,223387312.76666665
202411010930,233334986.26666665
202411011000,224545671.56666666
202411011030,227485196.96666664
202411011100,215796518.73333335
202411011130,223757034.46666667
202411011200,217147214.8
202411011230,230996168.96666664
202411011300,208954703.46666667
202411011330,206876400.53333333
202411011400,213088285.8
202411011430,211029647.6
202411011500,207677661.6666667
202411011530,202160134.6666667
202411011600,200725914.1666667
202411011630,199678042.39999998
202411011700,205753542.03333333
202411011730,192829334.16666666
202411011800,188077956
202411011830,190049191.2
202411011900,174155037.06666666
202411011930,168126520.86666667
202411012000,149728688.3
202411012030,159938710.46666667
202411012100,139737112.76666665
202411012130,137032203.3333333
202411012200,121560036.46666667
202411012230,114731152.43333334
202411012300,98097777.46666667
202411012330,113169400.2
202411020000,90551042.7
202411020030,90551042.7
202411020100,75188381.33333333
202411020130,80892447.43333334
202411020200,77270938.19999999
202411020230,77959683.2
202411020300,82613457.8
202411020330,82250162.56666666
202411020400,83134164.16666666
202411020430,86813578
202411020500,92060271.03333333
202411020530,98793426.16666666
202411020600,110152460.83333334
202411020630,139844398.9
202411020700,136000640.7
202411020730,147551324.73333335
202411020800,155109542.1666667
202411020830,181600116.3
202411020900,164585879.56666666
202411020930,189833249.5
202411021000,168197811
202411021030,160784620.76666665
202411021100,159631195.5
202411021130,164857689.4
202411021200,157785278
202411021230,171292438.89999998
202411021300,163021368.26666665
202411021330,152238481.76666665
202411021400,153830220.53333333
202411021430,150609985.43333334
202411021500,151025915.53333333
202411021530,148532994.66666666
202411021600,152378747.46666667
202411021630,160748002.2
202411021700,143190925.1
