date,bps
202411022130,10228208028.3
202411022200,8217799286.4
202411022230,5879644687.466667
202411022300,4887973279.333334
202411022330,4542444063.4
202411030000,5334279574.433333
202411030030,5172399160.1
202411030100,4292122074.966666
202411030130,3113081351.3
202411030200,3242377088.366667
202411030230,3130919471.5666666
202411030300,3373223163.966666
202411030330,4149109821.4666667
202411030400,4149109821.4666667
202411030430,4135569092.333333
202411030500,4959318097.566667
202411030530,5125822837.5
202411030600,5534567413.666667
202411030630,6222119055.433333
202411030700,6051724218.433332
202411030730,6748174170.666667
202411030800,7249931705.633333
202411030830,8131483904.133333
202411030900,7934935525.433332
202411030930,7535686044.033333
202411031000,7628008789.266666
202411031030,7376521887.2
202411031100,7157510417.5
202411031130,7248309799.066667
202411031200,7104120029.833334
202411031230,7104120029.833334
202411031300,9871099995.599998
202411031330,10303560726.133333
202411031400,9278157156.666668
202411031430,8210822574.333334
202411031500,8867596468.866667
202411031530,9089009077.233334
202411031600,11703540317.566666
202411031630,13116370894
202411031700,13116370894
202411031730,11472402176.166668
202411031800,10891306166.3
202411031830,11175882126.133333
202411031900,11911150970.766666
202411031930,13544528322.8
202411032000,13544528322.8
202411032030,12647521406.633333
202411032100,11758916114.633333
202411032130,10779479723.9
202411032200,10191269255.066666
202411032230,7416194102.633333
202411032300,5744445049.933332
202411032330,4809466592.433333
202411040000,3986419030.8
202411040030,4002449397.6666665
202411040100,2906659064.4666667
202411040130,2366726526.633333
202411040200,2049197525.2333333
202411040230,1672703162.6999998
202411040300,1667813787.7333333
202411040330,1677489524.1
202411040400,1806900843.7666667
202411040430,2171746412.633333
202411040500,2826094978.2
202411040530,3850953612.1
202411040600,4844551659.9
202411040630,4872466329.166666
202411040700,4825006449.5
202411040730,5325911430.7
202411040800,4614107299.333334
202411040830,4601680412
202411040900,5025266249.033333
202411040930,5699076413.5
202411041000,5362038990.133333
202411041030,5785462726.633333
202411041100,5197431228.366667
202411041130,4725947938.733334
202411041200,5060263572.833334
202411041230,5060263572.833334
202411041300,5116034567.666666
202411041330,5509738761.433333
202411041400,5509738761.433333
202411041430,5807912538.433333
202411041500,6717795626.233334
202411041530,7084673512.1
202411041600,7441244465.666666
202411041630,8381967507.4
202411041700,8512325594.366667
202411041730,9014611855.400002
202411041800,9940341155.366667
202411041830,11424763416.866667
202411041900,11583474940.033333
202411041930,12265034359.833334
202411042000,14847719946.266666
202411042030,13568859954.933334
202411042100,12990321192.5
202411042130,11690402736.3
202411042200,9765595517.033333
202411042230,7356163032.533333
202411042300,5762899613.366667
202411042330,4936109535.833334
202411050000,4223810074.6666665
202411050030,4727529595.766666
202411050100,3635061695.8
202411050130,2509593627.5
202411050200,2455700373.866667
202411050230,2455700373.866667
202411050300,2194809999.3
202411050330,2046997729.8333333
202411050400,2046983629.8333335
202411050430,2419687407.9333334
202411050500,2693013639.0333333
202411050530,4206160126.9
202411050600,4161558341.2
202411050630,4501502345.966667
202411050700,4613304078.6
202411050730,5406683006.2
202411050800,5697235436.166666
202411050830,6176132762.266666
202411050900,5459612283.233334
202411050930,4693800104.933333
202411051000,4678977106.5
202411051030,4419979721.9
202411051100,4629222608.633333
202411051130,5408616593
202411051200,5141424657.5
202411051230,5141424657.5
202411051300,4779967074.033333
202411051330,4758479246.9
202411051400,5303622941.5
202411051430,6106396662.066667
202411051500,6586738158.133333
202411051530,7112000539.433333
202411051600,7760966933.733334
202411051630,8048271464.433332
202411051700,8037474115.233334
202411051730,8651397962.733334
202411051800,9356644592.066666
202411051830,10038055175.7
202411051900,10188424305.733334
202411051930,11667003384.133333
202411052000,11763572021.2
202411052030,10894460055.033333
202411052100,11375631003.933334
202411052130,11067834581.333332
202411052200,11403838111.933334
202411052230,9228194046.833332
202411052300,7053940202.6
202411052330,5612869942.766666
202411060000,4398916837.966667
202411060030,4683080428.266666
202411060100,3047479657.5333333
202411060130,3228273607.366667
202411060200,2755634170.7666664
202411060230,1996701193.6
202411060300,2646793661.5333333
202411060330,2646793661.5333333
202411060400,2141181850.5
202411060430,2319455662.866667
202411060500,3469956418.3
202411060530,3726845197.1666665
202411060600,4521637258.733334
202411060630,4961627123.066667
